Category,Level1,Level2,Level3,Level4,DataOne,DataFour,DataFive,DataTwo,DataThree,Total
--Construction - Regular Highways (F44),GGGG,Transport,Construction  Regular Highways (F44),,0,g,0,55.7,19.8,75.5
--Construction - Toll Highways (F45),GGGG,Transport,Construction  Toll Highways (F45),,0,g,0,3.3,0.9,4.2
--Construction - Private Transit Subsidies (F47),GGGG,Transport,Construction  Private Transit Subsidies (F47),,0,,0,0,0,0
--Construction - Sea and Inland Port Facilities (F87),GGGG,Transport,Construction  Sea and Inland Port Facilities (F87),,0,g,0,0.4,1.7,2.1
--Other Capital Outlay - Air GGGG (G01),GGGG,Transport,Other Capital Outlay  Air GGGG (G01),,0,g,0,0.1,0.9,0.9
--Other Capital Outlay - Regular Highways (G44),GGGG,Transport,Other Capital Outlay  Regular Highways (G44),,0,g,0,4.4,3.7,8.1
--Other Capital Outlay - Toll Highways (G45),GGGG,Transport,Other Capital Outlay  Toll Highways (G45),,0,g,0,0.1,0.5,0.6
--Other Capital Outlay - Private Transit Subsidies (G47),GGGG,Transport,Other Capital Outlay  Private Transit Subsidies (G47),,0,,0,0,0,0
--Other Capital Outlay - Sea and Inland Port Facilities (G87),GGGG,Transport,Other Capital Outlay  Sea and Inland Port Facilities (G87),,0,g,0,0.2,0.3,0.4
--Federal Intergovernmental - Transit Utilities (B94),GGGG,Transit,Federal Intergovernmental  Transit Utilities (B94),,0,g,-11.6,0,0,-11.6
--Current Operations - Transit Utilities (E94),GGGG,Transit,Current Operations  Transit Utilities (E94),,0,g,0,6.7,32.3,39
--Construction - Transit Utilities (F94),GGGG,Transit,Construction  Transit Utilities (F94),,0,g,0,2.2,7.3,9.5
--Other Capital Outlay - Transit Utilities (G94),GGGG,Transit,Other Capital Outlay  Transit Utilities (G94),,0,g,0,2.5,7.9,10.4
--Transit Utilities - FFFF on Debt (I94),GGGG,Transit,Transit Utilities  FFFF on Debt (I94),,0,g,0,0.9,1.4,2.3
---Compensation of Members and Related Administrative Expenses,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Compensation of Members and Related Administrative Expenses,0.103,b,,,,0.103
---Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,1.258,b,,,,1.258
---General Expenses,HHHH,"Executive and legislative organs, financ",Legislative functions (801),General Expenses,0.085,b,,,,0.085
---Salaries,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Salaries,0.303,b,,,,0.303
---General Administration,HHHH,"Executive and legislative organs, financ",Legislative functions (801),General Administration,0.109,b,,,,0.109
---Capitol Building,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Capitol Building,0.057,b,,,,0.057
---Senate Office Buildings,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Senate Office Buildings,0.08,b,,,,0.08
---House Office Buildings,HHHH,"Executive and legislative organs, financ",Legislative functions (801),House Office Buildings,0.08,b,,,,0.08
---Capitol Power Plant,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Capitol Power Plant,0.13,b,,,,0.13
---Congressional Research Service: Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Congressional Research Service: Salaries and Expenses,0.109,b,,,,0.109
---Congressional Printing and Binding,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Congressional Printing and Binding,0.081,b,,,,0.081
---Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,0.524,b,,,,0.524
"---Salaries, Officers and Employees",HHHH,"Executive and legislative organs, financ",Legislative functions (801),"Salaries, Officers and Employees",0.182,b,,,,0.182
---Sergeant at Arms and Doorkeeper of the Senate,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Sergeant at Arms and Doorkeeper of the Senate,0.13,b,,,,0.13
---Inquiries and Investigations,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Inquiries and Investigations,0.138,b,,,,0.138
---Senators' Official Personnel and Office Expense Account,HHHH,"Executive and legislative organs, financ",Legislative functions (801),Senators' Official Personnel and Office Expense Account,0.426,b,,,,0.426
---Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Executive direction and management (802),Salaries and Expenses,0.122,b,,,,0.122
---Office of Management and Budget,HHHH,"Executive and legislative organs, financ",Executive direction and management (802),Office of Management and Budget,0.092,b,,,,0.092
---The White House,HHHH,"Executive and legislative organs, financ",Executive direction and management (802),The White House,0.057,b,,,,0.057
---Office of the United States Trade Representative,HHHH,"Executive and legislative organs, financ",Executive direction and management (802),Office of the United States Trade Representative,0.053,b,,,,0.053
---Other Federal Drug Control Programs,HHHH,"Executive and legislative organs, financ",Executive direction and management (802),Other Federal Drug Control Programs,0.144,b,,,,0.144
---Charges for Administrative Expenses of Social Security Act As Amended,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Charges for Administrative Expenses of Social Security Act As Amended,-0.952,b,,,,-0.952
"---New Installment Agreements, IRS Miscellaneous Retained Fees",HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),"New Installment Agreements, IRS Miscellaneous Retained Fees",-0.159,b,,,,-0.159
"---General User Fees, IRS Miscellaneous Retained Fees",HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),"General User Fees, IRS Miscellaneous Retained Fees",-0.079,b,,,,-0.079
---Underpayment and Fraud Collection,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Underpayment and Fraud Collection,-0.125,b,,,,-0.125
---Debt Collection,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Debt Collection,-0.092,b,,,,-0.092
---Federal Financing Bank,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Financing Bank,-0.58,b,,,,-0.58
---Financial Agent Services,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Financial Agent Services,0.61,b,,,,0.61
---Federal Reserve Bank Reimbursement Fund,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Reserve Bank Reimbursement Fund,0.331,b,,,,0.331
"---Salaries and Expenses, Fiscal Service",HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0.349,b,,,,0.349
"---Salaries and Expenses, Fiscal Service",HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0.075,b,,,,0.075
---Reimbursements to Federal Reserve Banks,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Reimbursements to Federal Reserve Banks,0.11,b,,,,0.11
---Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0.097,b,,,,0.097
---Informant Payments,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Informant Payments,0.125,b,,,,0.125
---Taxpayer Services,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Taxpayer Services,2.225,b,,,,2.225
---Enforcement,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Enforcement,5.036,b,,,,5.036
---Operations Support,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Operations Support,4.365,b,,,,4.365
---Business Systems Modernization,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Business Systems Modernization,0.352,b,,,,0.352
---Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0.31,b,,,,0.31
---Treasury Inspector General for Tax Administration,HHHH,"Executive and legislative organs, financ",Central fiscal operations (803),Treasury Inspector General for Tax Administration,0.154,b,,,,0.154
---Office of Inspector General,HHHH,"Executive and legislative organs, financ",General property and records management (804),Office of Inspector General,0.059,b,,,,0.059
---Operating Expenses,HHHH,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0.067,b,,,,0.067
---Government-wide Policy,HHHH,"Executive and legislative organs, financ",General property and records management (804),Governmentwide Policy,0.082,b,,,,0.082
---Federal Buildings Fund,HHHH,"Executive and legislative organs, financ",General property and records management (804),Federal Buildings Fund,-0.314,b,,,,-0.314
"---Federal Buildings Fund, Recovery Act",HHHH,"Executive and legislative organs, financ",General property and records management (804),"Federal Buildings Fund, Recovery Act",0.824,b,,,,0.824
---Operating Expenses,HHHH,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0.333,b,,,,0.333
---Salaries and Expenses,HHHH,"Executive and legislative organs, financ",Central personnel management (805),Salaries and Expenses,0.1,b,,,,0.1
---Payment to Civil Service Retirement and Disability Fund,HHHH,"Executive and legislative organs, financ",Central personnel management (805),Payment to Civil Service Retirement and Disability Fund,31.838,b,,,,31.838
---General Fund Payment to the Civil Service Retirement and Disability Fund,HHHH,"Executive and legislative organs, financ",Central personnel management (805),General Fund Payment to the Civil Service Retirement and Disability Fund,-31.838,b,,,,-31.838
--Current Operations - Financial Administration (E23),HHHH,"Executive and legislative organs, financ",Current Operations  Financial Administration (E23),,0,g,0,23.1,18.4,41.5
--Current Operations - State Legislative Services (E26),HHHH,"Executive and legislative organs, financ",Current Operations  State Legislative Services (E26),,0,g,0,3,0,3
--Current Operations - Central Staff Services (E29),HHHH,"Executive and legislative organs, financ",Current Operations  Central Staff Services (E29),,0,g,0,2,23.5,25.5
--Current Operations - General Public Buildings (E31),HHHH,"Executive and legislative organs, financ",Current Operations  General Public Buildings (E31),,0,g,0,1.4,6.7,8.1
--Construction - Financial Administration (F23),HHHH,"Executive and legislative organs, financ",Construction  Financial Administration (F23),,0,g,0,0.1,0.2,0.3
--Construction - State Legislative Services (F26),HHHH,"Executive and legislative organs, financ",Construction  State Legislative Services (F26),,0,g,0,0,0,0
--Construction - Central Staff Services (F29),HHHH,"Executive and legislative organs, financ",Construction  Central Staff Services (F29),,0,g,0,0,1.1,1.1
--Construction - General Public Buildings (F31),HHHH,"Executive and legislative organs, financ",Construction  General Public Buildings (F31),,0,g,0,1.5,2.1,3.6
--Other Capital Outlay - Financial Administration (G23),HHHH,"Executive and legislative organs, financ",Other Capital Outlay  Financial Administration (G23),,0,g,0,0.3,0.5,0.8
--Other Capital Outlay - State Legislative Services (G26),HHHH,"Executive and legislative organs, financ",Other Capital Outlay  State Legislative Services (G26),,0,g,0,0,0,0
--Other Capital Outlay - Central Staff Services (G29),HHHH,"Executive and legislative organs, financ",Other Capital Outlay  Central Staff Services (G29),,0,g,0,0.1,1.3,1.4
--Other Capital Outlay - General Public Building (G31),HHHH,"Executive and legislative organs, financ",Other Capital Outlay  General Public Building (G31),,0,g,0,0.1,0.9,1
---Mineral Leasing and Associated Payments,HHHH,General services,General purpose fiscal assistance (806),Mineral Leasing and Associated Payments,2.144,b,,,,2.144
"---Payments to the United States Territories, Fiscal Assistance",HHHH,General services,General purpose fiscal assistance (806),"Payments to the United States Territories, Fiscal Assistance",0.248,b,,,,0.248
---Payments to States in Lieu of Coal Fee Receipts,HHHH,General services,General purpose fiscal assistance (806),Payments to States in Lieu of Coal Fee Receipts,0.12,b,,,,0.12
---Payments in Lieu of Taxes,HHHH,General services,General purpose fiscal assistance (806),Payments in Lieu of Taxes,0.398,b,,,,0.398
---Internal Revenue Collections for Puerto Rico,HHHH,General services,General purpose fiscal assistance (806),Internal Revenue Collections for Puerto Rico,0.466,b,,,,0.466
"---Build America Bond Payments, Recovery Act",HHHH,General services,General purpose fiscal assistance (806),"Build America Bond Payments, Recovery Act",3.958,b,,,,3.958
"---Refunds, Transfers, and Expenses of Operation, Puerto Rico",HHHH,General services,General purpose fiscal assistance (806),"Refunds, Transfers, and Expenses of Operation, Puerto Rico",0.098,b,,,,0.098
---Federal Payment to the District of Columbia Courts,HHHH,General services,General purpose fiscal assistance (806),Federal Payment to the District of Columbia Courts,0.245,b,,,,0.245
---Defender Services in District of Columbia Courts,HHHH,General services,General purpose fiscal assistance (806),Defender Services in District of Columbia Courts,0.06,b,,,,0.06
---Forest Service Permanent Appropriations,HHHH,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0.126,b,,,,0.126
---Forest Service Permanent Appropriations,HHHH,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0.224,b,,,,0.224
--Social Security Integrity and Debt Reduction (807),HHHH,General services,Social Security Integrity and Debt Reduction (807),,0,,0,0,0,0
---Assistance to Territories,HHHH,General services,Other HHHH (808),Assistance to Territories,0.07,b,,,,0.07
---Compact of Free Association,HHHH,General services,Other HHHH (808),Compact of Free Association,0.256,b,,,,0.256
---Federal Trust Programs,HHHH,General services,Other HHHH (808),Federal Trust Programs,0.147,b,,,,0.147
"---Claims, Judgments, and Relief Acts",HHHH,General services,Other HHHH (808),"Claims, Judgments, and Relief Acts",0.816,b,,,,0.816
---Government Printing Office Revolving Fund,HHHH,General services,Other HHHH (808),Government Printing Office Revolving Fund,0.182,b,,,,0.182
---Salaries and Expenses,HHHH,General services,Other HHHH (808),Salaries and Expenses,0.071,b,,,,0.071
--Federal Intergovernmental - General Local Government Support (B30),HHHH,General services,Federal Intergovernmental  General Local Government Support (B30),,0,g,-0.8,0,0,-0.8
---Space Operations,IIII,Basic research,"Space flight, research, and supporting activities (252)",Space Operations,4.271,b,,,,4.271
---Science,IIII,Basic research,"Space flight, research, and supporting activities (252)",Science,5,b,,,,5
---Cross Agency Support,IIII,Basic research,"Space flight, research, and supporting activities (252)",Cross Agency Support,2.921,b,,,,2.921
---Exploration,IIII,Basic research,"Space flight, research, and supporting activities (252)",Exploration,3.859,b,,,,3.859
---PlatformWars  ,IIII,Basic research,"Space flight, research, and supporting activities (252)",PlatformWars  ,0.173,b,,,,0.173
"---Construction, Environmental Compliance, and Remediation",IIII,Basic research,"Space flight, research, and supporting activities (252)","Construction, Environmental Compliance, and Remediation",0.545,b,,,,0.545
